NO,PROC,BHH,BFH,SHH,SHL,SFH,SFL
1,1,1,5,1,14,9,3
2,1,2,1,2,9,5,0
3,1,0,0,0,11,9,2
4,1,1,1,0,7,0,8
5,1,3,7,4,7,9,1
6,1,5,3,2,6,8,2
7,1,6,1,4,7,3,0
8,1,4,4,4,7,7,1
9,1,0,4,4,5,11,1
10,1,1,4,3,14,8,3
11,1,4,3,6,4,8,1
12,1,0,0,4,2,10,1
13,1,1,2,1,16,7,2
14,1,1,0,5,11,1,1
15,1,3,12,3,5,13,0
16,1,1,0,4,12,1,3
17,1,2,7,5,10,8,0
18,1,4,7,6,4,11,1
19,1,7,2,3,7,1,0
20,1,1,2,2,4,14,2
21,1,4,1,3,9,6,0
22,1,1,5,7,6,11,2
23,1,3,3,4,18,3,0
24,1,1,8,4,5,12,2
25,1,3,2,2,15,8,1
26,1,3,1,4,9,7,6
27,1,2,1,2,13,9,1
28,1,1,1,3,9,10,0
29,1,0,5,1,11,11,1
30,1,0,1,6,10,14,0
31,1,1,2,4,9,13,1
32,1,1,2,6,11,5,1
33,1,2,2,3,10,13,1
34,1,1,0,1,10,2,0
35,1,1,1,3,13,9,3
36,1,2,0,2,13,6,0
37,1,2,2,3,10,7,7
38,1,2,0,2,11,2,0
39,1,1,5,4,9,7,1
40,1,1,1,0,11,7,0
41,1,1,0,3,13,4,1
42,1,2,1,2,9,7,1
43,1,2,0,3,11,10,3
44,1,2,3,4,5,14,3
45,1,0,0,3,13,7,0
46,1,3,1,2,12,6,1
47,1,0,4,2,11,8,1
48,1,2,2,2,15,6,3
49,1,1,1,1,13,10,1
50,1,1,1,7,7,10,0
51,1,1,2,2,12,13,1
52,2,1,1,1,12,6,0
53,2,2,5,3,15,3,0
54,2,5,4,2,10,5,0
55,2,3,2,5,12,5,1
56,2,1,2,6,14,3,2
57,2,0,0,5,14,4,0
58,2,1,3,8,14,3,0
59,2,3,7,8,12,5,0
60,2,3,6,5,11,1,0
61,2,4,3,8,9,6,0
62,2,3,3,5,15,2,0
63,2,1,5,3,10,16,0
64,2,6,2,2,10,5,0
65,2,1,2,6,11,7,0
66,2,2,5,6,10,3,0
67,2,2,2,2,13,1,0
68,2,4,1,3,11,5,2
69,2,3,2,6,16,3,1
70,2,1,1,9,9,6,3
71,2,1,0,13,3,4,0
72,2,0,1,12,11,7,0
73,2,0,0,11,8,4,0
74,2,1,1,3,10,6,0
75,2,1,1,3,12,4,0
76,2,1,0,4,10,1,0
77,2,1,1,6,14,2,0
78,2,1,1,11,12,1,0
79,2,3,2,4,13,0,1
80,2,3,0,0,13,0,0
81,2,3,2,6,11,4,0
82,2,3,1,6,11,0,0
83,2,3,1,7,9,6,1
84,2,3,2,1,17,1,0
85,2,1,1,3,13,5,0
86,2,3,3,7,10,2,0
87,2,1,0,7,13,6,3
88,2,2,1,12,7,2,0
89,3,0,10,1,2,18,0
90,3,0,8,3,6,10,0
91,3,0,7,2,4,18,0
92,3,5,3,5,8,7,1
93,3,0,10,3,1,17,0
94,3,0,19,2,0,8,0
95,3,3,7,5,6,6,0
96,3,1,5,3,2,12,0
97,3,0,3,5,3,17,1
98,3,0,6,1,3,17,1
99,3,0,12,5,1,10,0
100,3,0,1,3,2,15,0
101,3,0,1,3,0,13,0
102,3,0,2,2,4,17,0
103,3,0,6,7,9,10,0
104,3,0,6,3,1,20,0
105,3,0,3,0,13,6,1
106,3,0,14,5,3,10,0
107,3,0,5,3,3,22,0
108,3,0,10,5,3,17,0
109,3,0,9,3,0,13,0
110,3,0,4,5,2,17,0
111,3,0,6,7,2,17,0
112,3,0,5,5,12,17,0
113,3,0,14,2,2,14,0
114,3,0,2,1,2,18,0
115,3,0,9,4,1,17,0
116,3,0,8,4,3,20,0
117,3,0,9,5,1,16,0
118,3,0,8,0,3,11,0
119,3,0,10,0,2,14,0
120,3,0,12,3,8,12,2
121,3,0,5,1,0,16,1
122,3,0,6,2,1,12,0
