"","class","posterior.1","posterior.2","posterior.3","posterior.4","x.LD1","x.LD2","x.LD3","BHH","BFH","SHH","SHL","SFH","SFL"
"17023","4",9.49173218872218e-07,2.23316152495465e-09,0.000650346919064563,0.999348701674555,-3.16601591693951,1.16510237133227,-0.195859319990833,0,15.6294882884311,0,0,4.08248290463863,0
"17026","4",6.82765754202292e-06,1.8959927211353e-07,0.000999147405158701,0.998993835338027,-2.47278585573458,1.47241310612649,0.628626948994204,0,15.1152262815234,2.88675134594813,0,2.88675134594813,0
"19036","4",0.00273322890825425,4.78061157028489e-05,0.147205346584594,0.850013618391449,-1.45373415998539,0.378934359352116,0.361893558863962,0,12.2181026474144,2.58198889747161,5.16397779494322,8.81546151164433,0
"19046","4",1.24578122728952e-06,1.49727860148378e-09,0.00220370772973533,0.997795044991759,-3.24775820421813,0.730355348995782,-0.279276476687917,0,15.2494282066402,0,0,6.03553390593274,0
"19049","4",4.24917675430157e-07,1.03255005679688e-10,0.00924394747916453,0.990755627499905,-3.74056190638582,-0.00299880963915897,-0.467877728839418,0,16.0497516417824,0,0,10.3448535242678,0
"19070","4",0.000203758345173874,4.92527618097339e-07,0.128565747659285,0.871230001467924,-2.24547306526744,-0.0313657925408447,-0.0522362888002786,1.92450089729875,12.4120487971053,2.72165526975909,0,10.1573557474285,0
"19073","4",0.000266542314857023,1.10667183992742e-07,0.267759454918267,0.731973892099692,-2.40007966070275,-0.457126931603691,-0.733505554520775,1.69030850945703,10.5519886749204,0,0,10.1418510567422,0
"23077A","4",2.77094245875947e-07,2.5350960420332e-09,3.08219984864035e-05,0.999968898372172,-3.11851971072458,2.16305528178032,-0.0232862064521297,0,17.0710678118655,0,0,0,0
"23302","3",1.64531681868559e-05,6.89884811751554e-10,0.999058439328417,0.000925106813511405,-2.23404394667233,-2.87812931697428,-0.743328116432408,0,5.22232967867093,0,0,17.4077655955698,0
"23325","4",4.96350843394962e-05,1.38488756791246e-08,0.406553127405057,0.593397223661728,-2.79925332472878,-0.847474535908345,-0.481476876454369,0,10.8436909656747,0,0,10.9930860879093,0
"23333 slot 1","3",8.23485426721255e-05,2.00110059578376e-08,0.55160413676927,0.448313494677052,-2.67431916478988,-0.971497829561553,-0.567907659566774,0.376621788577355,10.2869377475681,0,0,11.5349525692798,0
"23340","4",5.58387336299072e-05,4.60114834386316e-08,0.0645366106278678,0.935407504627019,-2.62795146529609,-0.0310016009772273,-0.44071868342948,2.23606797749979,13.3829197254726,1.58113883008419,0,10.7966912753363,0
"23365","4",0.000231179076908995,2.55646090567373e-07,0.0500679462410619,0.949700619035938,-2.27364383116149,0.22659570614108,-0.645955282178448,1.66666666666667,12.1886550798991,0,1.66666666666667,8.57710728323662,0
"23370","4",6.45996630841471e-06,3.70293173156951e-08,0.000900874751002587,0.999092628253372,-2.66202998298609,1.34181733328343,-0.0984326354735692,0,13.8720701571592,0,0,1.94257172471453,0
"23371","3",0.00144160899246957,4.98819183549668e-07,0.590727893324976,0.40782999886337,-1.99756458305703,-0.691749836632635,-0.955932126781985,2.77350098112615,8.97523771058657,0,0,11.0940039245046,0
"23372","4",4.25062369341544e-06,2.51811141999482e-09,0.0177488131758474,0.982246933682348,-3.16819299888789,0.105123383370953,-0.372645206102159,0,13.9022652535373,0,0,8.28068420357684,0
"23375","4",2.5213706049676e-07,9.66089172247124e-10,0.00010237242519185,0.999897374471658,-3.30226823851247,1.67836018968833,-0.128783660364045,0,17.0234810813004,0,0,2.44225004349065,0
"23505","4",2.67161617684114e-06,3.89358621919109e-10,0.0154066497388502,0.984590678255614,-3.42466206483761,-0.0361406726046348,-0.947944814112718,2.35702260395516,15.6748639121461,0,0,12.1298614458823,0
"23609","4",7.14724354322132e-06,1.22839530171315e-09,0.0314879396892478,0.968504911838814,-3.22564527944005,-0.155333317774498,-0.906575905984618,1.94257172471453,15.7143157200727,0,1.94257172471453,13.3616205775074,0
